"Zona portuaria","Sociedad Portuaria","Tipo de embalaje","Exportación","Importación","Transbordo","Tránsito Internacional","Fluvial","Cabotaje","vigencia_anno","vigencia_mes"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","6.807","18.448","34.233",,,,"2.018","3"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","3.778","6.410",,,,,"2.018","3"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","5.892","12.065","5.921",,,,"2.018","3"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","1.070","2.928",,,,"270","2.018","3"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","4.341","32","21.350",,,,"2.018","3"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","13.292","16.771","94.105",,,,"2.018","3"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","1.161",,,,,,"2.018","3"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","385","303","1.023","2.231",,,"2.018","3"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","2.897","1.831","110",,,"12","2.018","3"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"523","2.018","3"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"3",,,,"109","2.018","3"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","4.401","8.441","27.826",,,,"2.018","4"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","3.858","4.972",,"4",,,"2.018","4"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"19",,,,,"2.018","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","267",,,,,"545","2.018","4"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos","7","12",,,,,"2.018","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","1","218",,"70",,"475","2.018","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","5.001","12.958","8.279",,,,"2.018","4"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.581","2.466","339","2.195",,,"2.018","4"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","4.140","1.195",,,,"380","2.018","4"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","754",,,,,"28","2.018","4"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"40",,,"8","2.018","4"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","597","3.349",,,,,"2.018","4"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","2.850","781",,,,,"2.018","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","8.242","19.045","40.204",,,,"2.018","4"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"140",,,,,"2.018","4"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","3.626","505","12.880",,,,"2.018","4"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","9.228","4.924",,,,"2","2.018","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","7.482","57","3.978",,,,"2.018","4"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","11.499","14.216","89.326",,,,"2.018","4"
