"Zona portuaria","Sociedad Portuaria","Tipo de embalaje","Exportación","Importación","Transbordo","Tránsito Internacional","Fluvial","Cabotaje","vigencia_anno","vigencia_mes"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","5.375","732","6.790",,,"913","2.021","12"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios",,"20",,,,,"2.021","12"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","15.905","23.020","103.042",,,"4.379","2.021","12"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.158","5.524","24","106",,"44","2.021","12"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","456",,,,,"785","2.021","12"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"373","2.021","12"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","5.414","23.715",,,,"753","2.021","12"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","9.444","2.080","22.229",,,"2.212","2.022","1"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.910","1.728","388","1.041",,,"2.022","1"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","3","161",,,,"564","2.022","1"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","3.660","1.318","39",,,"1.518","2.022","1"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"355","2.022","1"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","260",,,,,"557","2.022","1"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","2.002","304",,,,"2.556","2.022","1"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","150",,,,,,"2.022","1"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","8.663","400",,,,"49","2.022","1"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","184","3.538",,,,,"2.022","1"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","6.604","1","272",,,,"2.022","1"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","13.841",,,,,"2","2.022","1"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"34","2.022","1"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"35","88",,,,"2.022","1"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.445","1.623",,,,"852","2.022","1"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"22",,,,,"2.022","1"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","4.915","5.236","53","97",,"147","2.022","1"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"64",,"2.022","1"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","4.545","17.349","3.594",,,,"2.022","1"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"51",,"2.022","1"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","4.940","593","6.306",,,"1.231","2.022","1"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","3.433","17.727",,,,"385","2.022","1"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","8.042","11.650","22.812",,,"691","2.022","1"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","16.064","22.946","101.715",,,"5.049","2.022","1"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","32","462","290","69",,,"2.022","1"
"GUAJIRA","PUERTO BRISA S.A.","TEUS llenos",,"74",,,,,"2.022","1"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"120",,,,"2.022","1"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos","1","89",,,,,"2.022","1"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","1.913","13.094","643",,,,"2.022","1"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","167","100","42","66",,,"2.022","2"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","5.879","13.744","11.881",,,,"2.022","2"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","8.269","12.857","23.958",,,"363","2.022","2"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","4.675","16.167",,,,"519","2.022","2"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"70",,,,,"2.022","2"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"1",,,,,"2.022","2"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","7.915","1.968","12.374",,,"1.719","2.022","2"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"403","2.022","2"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"71",,"2.022","2"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"34","2.022","2"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","4.637","1.470","23",,,"442","2.022","2"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","3.167","729","4.525",,,"1.571","2.022","2"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","10.491","267","228",,,,"2.022","2"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","2.299","13.789","68",,,,"2.022","2"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"46",,"2.022","2"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","17.333",,,,,,"2.022","2"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","76","4",,,,,"2.022","2"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos","2","20","14",,,,"2.022","2"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","11.480",,,,,,"2.022","2"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"2",,,,,"2.022","2"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.922","1.760","170","1.152",,,"2.022","2"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","15.480","19.894","93.721",,,"5.586","2.022","2"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.402","5.176","16","98",,"80","2.022","2"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos",,"225",,,,"647","2.022","2"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","540","4.193",,,,,"2.022","2"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","230",,,,,"731","2.022","2"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"62",,,,"2.022","2"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","4.206","410",,,,"909","2.022","2"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","793","1.521",,,,"962","2.022","2"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","93","292","60","760",,,"2.022","3"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","218",,,"4",,"658","2.022","3"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","9.990",,"8",,,,"2.022","3"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","4.986","627",,,,"826","2.022","3"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"22","8",,,,"2.022","3"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.753","5.342",,"35",,,"2.022","3"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos","5","195",,,,,"2.022","3"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","5.980","13.260","1.452",,,,"2.022","3"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","623","5.344",,,,,"2.022","3"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"40",,,,"2.022","3"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"67",,"2.022","3"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","165",,,,,,"2.022","3"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","6.520","23.829",,,,"631","2.022","3"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","17.467",,,,,"4","2.022","3"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","5.096","1.275","75",,,"468","2.022","3"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","5.754","921","7.129",,,"1.651","2.022","3"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","16.696","22.322","114.317",,,"5.246","2.022","3"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.888","11.880","1.789",,,,"2.022","3"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.031","1.435",,,,"1.280","2.022","3"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"344","2.022","3"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","7.406","1.828","15.632",,,"1.908","2.022","3"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","1","213",,"1",,"607","2.022","3"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"8",,,,,"2.022","3"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"32","2.022","3"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","6.437","435","136",,,,"2.022","3"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.799","1.616","68","1.583",,,"2.022","3"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","10.866","15.950","31.271",,,"403","2.022","3"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"46",,"2.022","3"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"31","2.022","4"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","106","236","64","38",,,"2.022","4"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","1.364","2.949",,,,,"2.022","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos",,"254",,,,"649","2.022","4"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"69",,"2.022","4"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.122","5.193",,"25",,,"2.022","4"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","13.348","200",,,,"21","2.022","4"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos","2","116",,,,,"2.022","4"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"80",,"2.022","4"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"376","2.022","4"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos","8","4",,,,,"2.022","4"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","3.850","511",,,,"600","2.022","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","6.885",,"138",,,,"2.022","4"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"19",,,,,"2.022","4"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","4.198","15.511",,,,"388","2.022","4"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","9.669","14.844","26.086",,,"448","2.022","4"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","113","6",,,,,"2.022","4"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","16.289","22.708","107.844",,,"5.581","2.022","4"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","3.179","621","5.951",,,"1.833","2.022","4"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","876","1.255",,,,"1.448","2.022","4"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"14","16",,,,"2.022","4"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","5.106","1.389","224",,,,"2.022","4"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","9.964","2.168","16.913",,,"1.895","2.022","4"
"GUAJIRA","PUERTO BRISA S.A.","TEUS llenos",,"76",,,,,"2.022","4"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"70",,,,"2.022","4"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.949","1.950","115","958",,,"2.022","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","264",,,,,"743","2.022","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","8.904",,,,,,"2.022","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","2.279","9.792","927",,,,"2.022","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","5.112","13.576","1.075",,,,"2.022","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","2","197",,,,"738","2.022","5"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","292","2.798",,,,,"2.022","5"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","3.543","479",,,,"680","2.022","5"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"90",,"2.022","5"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","252",,,,,"651","2.022","5"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","5.296","975","8.120",,,"1.951","2.022","5"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"344","2.022","5"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.034","1.646",,,,"1.701","2.022","5"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"8",,,,,"2.022","5"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","3.796","1.409","49",,,"296","2.022","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","6.512",,"1.306",,,,"2.022","5"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"86",,,,"2.022","5"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","15.918","23.008","99.128",,,"6.221","2.022","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.592","10.807","567",,,,"2.022","5"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"32","2.022","5"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","140","4",,,,,"2.022","5"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.771","4.827","340","357",,,"2.022","5"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.947","12.827",,,,"320","2.022","5"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos","6","94",,,,,"2.022","5"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"18","16",,,,"2.022","5"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","11.293",,,,,,"2.022","5"
"GUAJIRA","PUERTO BRISA S.A.","TEUS llenos",,"40",,,,,"2.022","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","6.896","18.260","2.817",,,,"2.022","5"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","197","113","67","15",,,"2.022","5"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.156","1.503","51","480",,,"2.022","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","9.496",,,,,,"2.022","5"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","10.556","697","16.413",,,"2.623","2.022","5"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","11.846","16.638","29.455",,,"416","2.022","5"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"44",,"2.022","5"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"21",,,,,"2.022","6"
"GUAJIRA","PUERTO BRISA S.A.","TEUS llenos",,"76",,,,,"2.022","6"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"281","2.022","6"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","1","219",,,,"504","2.022","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","5.994","15.234","2.679",,,,"2.022","6"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","10.510","2.173","20.468",,,"2.059","2.022","6"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"37","2.022","6"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"108",,"2.022","6"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"134",,,,,"2.022","6"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.125","5.086","1.068","1.217",,"68","2.022","6"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","934","1.575",,"28",,"1.443","2.022","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","7.342","299","6",,,,"2.022","6"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","10.699","15.575","30.328",,,"869","2.022","6"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","204",,,,,"648","2.022","6"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","183","178",,"5",,,"2.022","6"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"8",,,,,"2.022","6"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","442","5.766",,,,,"2.022","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","6.142","24.356",,,,"10","2.022","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","2.888","10.832","696",,,,"2.022","6"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","142","4",,,,,"2.022","6"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","4.428","429",,,,"988","2.022","6"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos","4","114",,,,,"2.022","6"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","4.210","1.113","5.911",,,"2.289","2.022","6"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.612","1.679","104","905",,,"2.022","6"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"114",,,,"2.022","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","14.151",,,,,,"2.022","6"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","1.787","1.536","23",,,,"2.022","6"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","15.546","22.720","97.010",,,"6.286","2.022","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","8.155",,"1.774",,,,"2.022","6"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"60",,"2.022","6"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","148",,,,,"689","2.022","7"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","200","150",,"2",,,"2.022","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","7.967","104","440",,,,"2.022","7"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"71",,,,,"2.022","7"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","54","179",,,,"672","2.022","7"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","3.358","17.501",,,,"947","2.022","7"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"42",,,,"2.022","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","12.141","16","989",,,,"2.022","7"
"TURBO","UNIBAN LOGISTICA S.A","TEUS llenos","3.419","548",,,,"722","2.022","7"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"12",,,,,"2.022","7"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.368","1.752","155","414",,,"2.022","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.656","2.002",,"324",,"1.003","2.022","7"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","11.649","18.148","25.898",,,"880","2.022","7"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS llenos",,,,,"50",,"2.022","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","5.798","21.407","4.919",,,,"2.022","7"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","16.425",,,,,"8","2.022","7"
"TURBO","UNIBAN LOGISTICA S.A","TEUS vacios","330","2.776",,,,,"2.022","7"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"322","2.022","7"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"34","2.022","7"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"57",,"2.022","7"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","8.760","2.003","18.679",,,"1.810","2.022","7"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS vacios",,"25",,,,,"2.022","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","5.521","5.736","1.422","1.467",,,"2.022","7"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"155",,,,,"2.022","7"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","2.695","1.435","75",,,"622","2.022","7"
